"","names","ensb","hugo"
"106","ENSG00000005810.13","ENSG00000005810","MYCBP2"
"107","ENSG00000005812.6","ENSG00000005812","FBXL3"
"108","ENSG00000005844.13","ENSG00000005844","ITGAL"
"109","ENSG00000005882.7","ENSG00000005882","PDK2"
"110","ENSG00000005884.13","ENSG00000005884","ITGA3"
"111","ENSG00000005889.11","ENSG00000005889","ZFX"
"112","ENSG00000005893.11","ENSG00000005893","LAMP2"
"113","ENSG00000005955.8","ENSG00000005955","ENSG00000005955.8"
"114","ENSG00000005961.13","ENSG00000005961","ITGA2B"
"115","ENSG00000005981.8","ENSG00000005981","ASB4"
"116","ENSG00000006007.7","ENSG00000006007","GDE1"
"117","ENSG00000006015.13","ENSG00000006015","C19orf60"
"118","ENSG00000006016.6","ENSG00000006016","CRLF1"
"119","ENSG00000006025.7","ENSG00000006025","OSBPL7"
"120","ENSG00000006042.7","ENSG00000006042","TMEM98"
"121","ENSG00000006047.8","ENSG00000006047","YBX2"
"122","ENSG00000006059.3","ENSG00000006059","KRT33A"
"123","ENSG00000006062.9","ENSG00000006062","MAP3K14"
"124","ENSG00000006071.7","ENSG00000006071","ABCC8"
"125","ENSG00000006074.4","ENSG00000006074","ENSG00000006074.4"
"126","ENSG00000006075.11","ENSG00000006075","ENSG00000006075.11"
"127","ENSG00000006114.11","ENSG00000006114","ENSG00000006114.11"
"128","ENSG00000006116.3","ENSG00000006116","CACNG3"
"129","ENSG00000006118.10","ENSG00000006118","TMEM132A"
"130","ENSG00000006125.12","ENSG00000006125","AP2B1"
"131","ENSG00000006128.7","ENSG00000006128","TAC1"
"132","ENSG00000006194.6","ENSG00000006194","ZNF263"
"133","ENSG00000006210.6","ENSG00000006210","CX3CL1"
"134","ENSG00000006282.15","ENSG00000006282","SPATA20"
"135","ENSG00000006283.13","ENSG00000006283","CACNA1G"
"136","ENSG00000006327.9","ENSG00000006327","TNFRSF12A"
"137","ENSG00000006377.9","ENSG00000006377","DLX6"
"138","ENSG00000006432.11","ENSG00000006432","MAP3K9"
"139","ENSG00000006451.3","ENSG00000006451","RALA"
"140","ENSG00000006453.9","ENSG00000006453","BAIAP2L1"
"141","ENSG00000006459.6","ENSG00000006459","KDM7A"
"142","ENSG00000006468.9","ENSG00000006468","ETV1"
"143","ENSG00000006530.11","ENSG00000006530","AGK"
"144","ENSG00000006534.11","ENSG00000006534","ALDH3B1"
"145","ENSG00000006555.6","ENSG00000006555","TTC22"
"146","ENSG00000006576.12","ENSG00000006576","PHTF2"
"147","ENSG00000006606.4","ENSG00000006606","CCL26"
"148","ENSG00000006607.9","ENSG00000006607","FARP2"
"149","ENSG00000006611.11","ENSG00000006611","USH1C"
"150","ENSG00000006625.13","ENSG00000006625","GGCT"
"151","ENSG00000006634.3","ENSG00000006634","DBF4"
"152","ENSG00000006638.7","ENSG00000006638","TBXA2R"
"153","ENSG00000006652.9","ENSG00000006652","IFRD1"
"154","ENSG00000006659.8","ENSG00000006659","LGALS14"
"155","ENSG00000006695.6","ENSG00000006695","COX10"
"156","ENSG00000006704.6","ENSG00000006704","GTF2IRD1"
"157","ENSG00000006712.10","ENSG00000006712","PAF1"
"158","ENSG00000006715.11","ENSG00000006715","VPS41"
"159","ENSG00000006740.12","ENSG00000006740","ARHGAP44"
"160","ENSG00000006744.14","ENSG00000006744","ELAC2"
"161","ENSG00000006747.10","ENSG00000006747","SCIN"
"162","ENSG00000006756.11","ENSG00000006756","ARSD"
"163","ENSG00000006757.7","ENSG00000006757","PNPLA4"
"164","ENSG00000006788.8","ENSG00000006788","MYH13"
"165","ENSG00000006831.9","ENSG00000006831","ADIPOR2"
"166","ENSG00000006837.7","ENSG00000006837","CDKL3"
"167","ENSG00000007001.8","ENSG00000007001","UPP2"
"168","ENSG00000007038.6","ENSG00000007038","PRSS21"
"169","ENSG00000007047.10","ENSG00000007047","MARK4"
"170","ENSG00000007062.7","ENSG00000007062","PROM1"
"171","ENSG00000007080.6","ENSG00000007080","CCDC124"
"172","ENSG00000007129.13","ENSG00000007129","CEACAM21"
"173","ENSG00000007168.8","ENSG00000007168","PAFAH1B1"
"174","ENSG00000007171.12","ENSG00000007171","NOS2"
"175","ENSG00000007174.13","ENSG00000007174","DNAH9"
"176","ENSG00000007202.10","ENSG00000007202","KIAA0100"
"177","ENSG00000007216.10","ENSG00000007216","SLC13A2"
"178","ENSG00000007237.14","ENSG00000007237","GAS7"
"179","ENSG00000007255.6","ENSG00000007255","TRAPPC6A"
"180","ENSG00000007264.9","ENSG00000007264","MATK"
"181","ENSG00000007306.10","ENSG00000007306","CEACAM7"
"182","ENSG00000007312.8","ENSG00000007312","CD79B"
"183","ENSG00000007314.7","ENSG00000007314","SCN4A"
